ID,Locality,Assemblage,GeoLayer.Name,Country,Locality.Type,X,Y,Technocomplex,Geostrat..Info..age.min,Geostrat..Info..age.max,Geostrat..Info..correlation,Geostrat..Info..mis,NISP.Sum.class.Mammalia,NISP.Sum.order.Rodentia,NISP.Sum.family.Anatidae,Alces_NISP,Bison_NISP,Bos_NISP,Canis_NISP,Capra_NISP,Capreolus_NISP,Cervus_NISP,Coelodonta_NISP,Dama_NISP,Equus_NISP,Mammuthus_NISP,Megaloceros_NISP,Ovibos_NISP,Ovis_NISP,Palaeoloxodon_NISP,Rangifer_NISP,Saiga_NISP,Stephanorhinus_NISP,Sus_NISP,Ursus_NISP,Panthera_NISP,meanage,sdage,totalNISP,millie,RD_Suitability
8,Abri Pataud,Abri Pataud Level 2 fauna,Level 2,France,rock shelter,1.012781,44.936947,UP/ Gravettian,19130,22600,14C (radiocarbon) dating,NA,1511,57,NA,0,0,0,0.01582,0.05021,0.00069,0.02613,0,0,0.02751,0.00069,0,0,0,0,0.84938,0,0,0,0,0.00138,25095,1,1454,25000,0.73740536
9,Abri Pataud,Abri Pataud Level 3 fauna,Level 3,France,rock shelter,1.012781,44.936947,UP/ Gravettian,18190,25100,14C (radiocarbon) dating,NA,2334,28,NA,0,0,0,0.00173,0.01474,0.00043,0.00824,0,0,0.02862,0.00043,0,0,0,0,0.90199,0,0,0.00087,0.00043,0,27228,1,2306,27000,0.728000104
10,Abri Pataud,Abri Pataud Level 4 fauna,Level 4,France,rock shelter,1.012781,44.936947,UP/ Gravettian,25400,27900,14C (radiocarbon) dating,NA,18222,4,NA,0,0,0,0.00011,0.00428,0.00258,0.01471,0,0,0.00752,0,0,0,0,0,0.94972,0,0,0.00022,0.00016,0.00016,31126,1,18218,31000,0.69972837
11,Abri Pataud,Abri Pataud Level 5 fauna,Level 5,France,rock shelter,1.012781,44.936947,UP/ Gravettian,21000,29500,14C (radiocarbon) dating,NA,21796,6,NA,0,0,5.00E-05,0.00179,0.00211,0.00046,0.00789,0,0,0.00202,0.00023,0,5.00E-05,0,0,0.96921,0,0,0.00028,0.00028,0,30963,1,21790,31000,0.69972837
13,Abri Pataud,Abri Pataud Level 7 fauna,Level 7,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,28850,33350,14C (radiocarbon) dating,NA,607,39,NA,0,0,0,0.00176,0.00704,0.01232,0.14085,0,0,0.1162,0.00352,0,0,0,0,0.69542,0,0,0.00528,0,0,36519,1,568,37000,0.613986194
14,Abri Pataud,Abri Pataud Level 8 fauna,Level 8,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,30900,33550,14C (radiocarbon) dating,NA,102,81,NA,0,0,0,0,0.04762,0,0.14286,0,0,0.28571,0,0,0,0,0,0.14286,0,0,0.14286,0,0,36133,1,21,36000,0.634593368
15,Abri Pataud,Abri Pataud Level 9 fauna,Level 9,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,32900,33900,14C (radiocarbon) dating,NA,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37860,1,1,38000,0.588448524
16,Abri Pataud,Abri Pataud Level 10 fauna,Level 10,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,33150,34150,14C (radiocarbon) dating,NA,3,0,NA,0,0,0,0,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38986,1,3,39000,0.616099536
17,Abri Pataud,Abri Pataud Level 11 fauna,Level 11,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,31200,34700,14C (radiocarbon) dating,NA,437,0,NA,0,0,0,0.01602,0,0,0.00458,0,0,0.82151,0.00229,0,0,0,0,0,0,0,0.00458,0.00229,0,38740,1,437,39000,0.616099536
18,Abri Pataud,Abri Pataud Level 12 fauna,Level 12,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,30500,34900,14C (radiocarbon) dating,NA,180,0,NA,0,0,0,0.02222,0.00556,0,0,0,0,0.20556,0,0,0,0,0,0.71667,0,0,0,0,0,38360,1,180,38000,0.588448524
19,Abri Pataud,Abri Pataud Level 13 fauna,Level 13,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,33650,35450,14C (radiocarbon) dating,NA,226,2,NA,0,0,0,0,0,0,0.01339,0,0,0,0,0,0,0,0,0.98661,0,0,0,0,0,39706,1,224,40000,0.637296557
20,Abri Pataud,Abri Pataud Level 14 fauna,Level 14,France,rock shelter,1.012781,44.936947,UP/ Aurignacian,32540,36450,14C (radiocarbon) dating,NA,1500,0,NA,0,0,0,0,0.00067,0,0.00667,0,0,0.00067,0,0,0,0,0,0.98733,0,0,0,0,0,39922,1,1500,40000,0.637296557
157,Arlanpe,Arlanpe SQ2 level VI fauna,Nivel VI,Spain,cave,-2.763036,43.192885,MP/ Middle Paleolithic - Eurasia,70600,218529,"biostratigraphy (small mammal),U series (uranium-thorium) dating,AAR (amino acid racemization) dating",6-5e,72,0,NA,0,0,0,0,0.22222,0,0.01389,0,0,0,0,0,0,0,0,0,0,0,0.22222,0.22222,0,184271,0.676935324,72,184000,NA
158,Arlanpe,Arlanpe SQ2 level 5 fauna,Nivel 5,Spain,cave,-2.763036,43.192885,MP/ Middle Paleolithic - Eurasia,70600,218529,"biostratigraphy (small mammal),U series (uranium-thorium) dating,AAR (amino acid racemization) dating",6-5e,39,0,NA,0,0,0,0,0.07692,0.05128,0,0,0,0,0,0,0,0,0,0,0,0,0.41026,0.41026,0,184271,0.676935324,39,184000,NA
163,Arlanpe,Arlanpe SQ3 level D fauna,Nivel D,Spain,cave,-2.763036,43.192885,MP/ Middle Paleolithic - Eurasia,70600,218529,"AAR (amino acid racemization) dating,biostratigraphy (small mammal),U series (uranium-thorium) dating",6-5e,292,0,NA,0,0,0,0,0.16438,0.02055,0.0137,0,0,0,0,0,0,0,0,0.00342,0,0,0.07534,0.07534,0.00685,184271,0.676935324,292,184000,NA
231,Azokh-1 Cave,"Azokh 1, Unit II/III, coll. 2002-2009 micromammals",Unit II,Azerbaijan,cave,46.98842,39.61997,MP/ Mousterian - Eurasia,0,197000,ESR (electron spin resonance) dating,NA,16,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107987,0.963571,1,108000,NA
233,Azokh-1 Cave,"Azokh 1, Unit II, coll. 2002-2009 micromammals",Unit II,Azerbaijan,cave,46.98842,39.61997,MP/ Mousterian - Eurasia,0,197000,ESR (electron spin resonance) dating,NA,145,98,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107987,0.963571,47,108000,NA
